2021-02-25 13:47:03,271 DEBUG  ROS Time: 101 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:05,277 DEBUG  ROS Time: 103 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:07,283 DEBUG  ROS Time: 105 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:09,694 DEBUG  ROS Time: 107 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:11,702 DEBUG  ROS Time: 109 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:13,709 DEBUG  ROS Time: 111 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:15,717 DEBUG  ROS Time: 113 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:17,728 DEBUG  ROS Time: 115 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:19,741 DEBUG  ROS Time: 117 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:21,748 DEBUG  ROS Time: 119 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:23,758 DEBUG  ROS Time: 121 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:25,764 DEBUG  ROS Time: 123 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:27,770 DEBUG  ROS Time: 125 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:29,776 DEBUG  ROS Time: 127 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:31,782 DEBUG  ROS Time: 129 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:33,790 DEBUG  ROS Time: 131 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:35,800 DEBUG  ROS Time: 133 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:37,806 DEBUG  ROS Time: 135 | active tasks: 0 | terminated tasks: 0 | active robots: 2
