2021-07-27 11:13:04,390 DEBUG  ROS Time: 102 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:06,394 DEBUG  ROS Time: 104 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:08,401 DEBUG  ROS Time: 106 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:10,408 DEBUG  ROS Time: 108 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:12,417 DEBUG  ROS Time: 110 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:14,423 DEBUG  ROS Time: 112 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:16,429 DEBUG  ROS Time: 114 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:18,443 DEBUG  ROS Time: 116 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:20,447 DEBUG  ROS Time: 118 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:22,455 DEBUG  ROS Time: 120 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:24,466 DEBUG  ROS Time: 122 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:26,473 DEBUG  ROS Time: 124 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:28,482 DEBUG  ROS Time: 126 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:30,489 DEBUG  ROS Time: 128 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:32,496 DEBUG  ROS Time: 130 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:34,504 DEBUG  ROS Time: 132 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:36,516 DEBUG  ROS Time: 134 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:38,525 DEBUG  ROS Time: 136 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:40,532 DEBUG  ROS Time: 138 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:42,542 DEBUG  ROS Time: 140 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:44,549 DEBUG  ROS Time: 142 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:46,558 DEBUG  ROS Time: 144 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:48,565 DEBUG  ROS Time: 146 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:50,571 DEBUG  ROS Time: 148 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:52,579 DEBUG  ROS Time: 150 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:54,585 DEBUG  ROS Time: 152 | active tasks: 1 | terminated tasks: 0 | active robots: 2
2021-07-27 11:13:56,593 DEBUG  ROS Time: 154 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:13:58,599 DEBUG  ROS Time: 156 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:00,605 DEBUG  ROS Time: 158 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:02,612 DEBUG  ROS Time: 160 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:04,621 DEBUG  ROS Time: 162 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:06,626 DEBUG  ROS Time: 164 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:08,634 DEBUG  ROS Time: 166 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:10,642 DEBUG  ROS Time: 168 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:12,650 DEBUG  ROS Time: 170 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:14,654 DEBUG  ROS Time: 172 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:16,661 DEBUG  ROS Time: 174 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:18,668 DEBUG  ROS Time: 176 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:20,674 DEBUG  ROS Time: 178 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:22,683 DEBUG  ROS Time: 180 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:24,688 DEBUG  ROS Time: 182 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:26,696 DEBUG  ROS Time: 184 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:28,707 DEBUG  ROS Time: 186 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:30,711 DEBUG  ROS Time: 188 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:32,720 DEBUG  ROS Time: 190 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:34,726 DEBUG  ROS Time: 192 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:36,734 DEBUG  ROS Time: 194 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:38,742 DEBUG  ROS Time: 196 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:40,750 DEBUG  ROS Time: 198 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:42,758 DEBUG  ROS Time: 200 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:44,766 DEBUG  ROS Time: 202 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:46,774 DEBUG  ROS Time: 204 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:48,781 DEBUG  ROS Time: 206 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:50,787 DEBUG  ROS Time: 208 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:52,795 DEBUG  ROS Time: 210 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:54,803 DEBUG  ROS Time: 212 | active tasks: 0 | terminated tasks: 1 | active robots: 2
